ConfirmGameRegistration,2018-05-14T07:52:57.673,0,,,,
JoinGame,2018-05-14T07:54:46.061,0,,,,
JoinGame,2018-05-14T07:57:36.373,0,,,,
Discover,2018-05-14T07:57:36.644,0,1,Player1,blue,member
Move,2018-05-14T07:57:36.960,0,1,Player1,blue,member
Discover,2018-05-14T07:57:36.999,0,1,Player1,blue,member
Move,2018-05-14T07:57:37.072,0,1,Player1,blue,member
Discover,2018-05-14T07:57:37.099,0,1,Player1,blue,member
Move,2018-05-14T07:57:37.174,0,1,Player1,blue,member
PickUpPiece,2018-05-14T07:57:37.245,0,1,Player1,blue,member
TestPiece,2018-05-14T07:57:37.324,0,1,Player1,blue,member
DestroyPiece,2018-05-14T07:57:37.413,0,1,Player1,blue,member
Discover,2018-05-14T07:57:37.502,0,1,Player1,blue,member
Move,2018-05-14T07:57:37.581,0,1,Player1,blue,member
PickUpPiece,2018-05-14T07:57:37.628,0,1,Player1,blue,member
TestPiece,2018-05-14T07:57:37.674,0,1,Player1,blue,member
DestroyPiece,2018-05-14T07:57:37.753,0,1,Player1,blue,member
Discover,2018-05-14T07:57:37.830,0,1,Player1,blue,member
Move,2018-05-14T07:57:37.895,0,1,Player1,blue,member
Discover,2018-05-14T07:57:37.922,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.005,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.050,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.129,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.175,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.255,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.300,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.381,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.408,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.473,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.524,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.601,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.648,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.726,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.777,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.853,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.897,0,1,Player1,blue,member
Move,2018-05-14T07:57:38.960,0,1,Player1,blue,member
Discover,2018-05-14T07:57:38.985,0,1,Player1,blue,member
Move,2018-05-14T07:57:39.071,0,1,Player1,blue,member
Discover,2018-05-14T07:57:39.116,0,1,Player1,blue,member
Move,2018-05-14T07:57:39.195,0,1,Player1,blue,member
